dataset,mean_x,mean_y,var_x,var_y,corr
away,54.27,47.83,281.23,725.75,-0.06
bullseye,54.27,47.83,281.21,725.53,-0.07
circle,54.27,47.84,280.9,725.23,-0.07
dino,54.26,47.83,281.07,725.52,-0.06
dots,54.26,47.84,281.16,725.24,-0.06
h_lines,54.26,47.83,281.1,725.76,-0.06
high_lines,54.27,47.84,281.12,725.76,-0.07
slant_down,54.27,47.84,281.12,725.55,-0.07
slant_up,54.27,47.83,281.19,725.69,-0.07
star,54.27,47.84,281.2,725.24,-0.06
v_lines,54.27,47.84,281.23,725.64,-0.07
wide_lines,54.27,47.83,281.23,725.65,-0.07
x_shape,54.26,47.84,281.23,725.22,-0.07
